game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,ft_pct,fg3_pct
2024-10-25,202410250HOU,HOU,Q1,Amen Thompson,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.9,1,1,0,0,0,0,0,1,1,2,0,0,1,1,2,2.0,0,1.000,,
2024-10-25,202410250HOU,HOU,Q1,Tari Eason,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.9,1,1,0,0,0,0,0,2,2,0,0,1,0,0,2,3.0,0,1.000,,
2024-10-25,202410250HOU,HOU,Q1,Reed Sheppard,https://www.basketball-reference.com/boxscores/202410250HOU.html,3.67,2,2,2,2,0,0,0,0,0,0,0,0,0,0,6,5.4,-3,1.000,,1.000
2024-10-25,202410250HOU,HOU,Q1,Jock Landale,https://www.basketball-reference.com/boxscores/202410250HOU.html,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+2,,,
2024-10-25,202410250HOU,HOU,Q2,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202410250HOU.html,9.28,0,3,0,1,2,2,1,5,6,1,0,1,1,0,2,2.5,0,.000,1.000,.000
2024-10-25,202410250HOU,HOU,Q2,Jalen Green,https://www.basketball-reference.com/boxscores/202410250HOU.html,6.85,4,6,3,4,1,2,0,1,1,1,1,1,0,1,12,11.3,+3,.667,.500,.750
2024-10-25,202410250HOU,HOU,Q2,Alperen Şengün,https://www.basketball-reference.com/boxscores/202410250HOU.html,6.62,1,3,0,0,0,0,2,0,2,0,0,0,0,0,2,1.7,+2,.333,,
2024-10-25,202410250HOU,HOU,Q2,Dillon Brooks,https://www.basketball-reference.com/boxscores/202410250HOU.html,8.68,0,4,0,3,2,2,1,0,1,0,0,0,0,0,2,-0.1,+2,.000,1.000,.000
2024-10-25,202410250HOU,HOU,Q2,Fred VanVleet,https://www.basketball-reference.com/boxscores/202410250HOU.html,8.2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0.2,0,,.500,
2024-10-25,202410250HOU,HOU,Q2,Amen Thompson,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.38,0,1,0,0,0,0,2,1,3,0,0,0,4,0,0,-3.0,-8,.000,,
